fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
SYMRA,Aker BP ASA,Approved for production,16/1-29 S,03.06.2018,North sea,PRODUCTION LICENSE,167,,22148,42002480,8383,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002480,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002480,02.01.2024,18.01.2024,22.03.2024
TAMBAR,Aker BP ASA,Producing,1/3-3,24.03.1983,North sea,PRODUCTION LICENSE,065,Tananger,21316,1028599,87,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1028599,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1028599,02.01.2024,02.01.2024,22.03.2024
TAMBAR ØST,Aker BP ASA,Producing,1/3-K-5,29.06.2007,North sea,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,,4999504,4999528,5485,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4999528,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4999528,02.01.2024,01.02.2024,22.03.2024
TOMMELITEN A,ConocoPhillips Skandinavia AS,Producing,1/9-1,17.02.1977,North sea,BUSINESS ARRANGEMENT AREA,TOMMELITEN A UNIT,Tananger,40915772,40867462,243,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=40867462,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=40867462,02.01.2024,02.01.2024,22.03.2024
TOMMELITEN GAMMA,ConocoPhillips Skandinavia AS,Shut down,1/9-4,12.01.1978,North sea,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,,41411,43444,247,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43444,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43444,02.01.2024,01.03.2024,22.03.2024
TOR,ConocoPhillips Skandinavia AS,Producing,2/5-1,22.11.1970,North sea,BUSINESS ARRANGEMENT AREA,TOR UNIT,Tananger,45891,43520,178,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43520,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43520,02.01.2024,02.01.2024,22.03.2024
TORDIS,Equinor Energy AS,Producing,34/7-12,17.12.1987,North sea,PRODUCTION LICENSE,089,Florø,21516,43725,1187,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43725,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43725,02.01.2024,02.01.2024,22.03.2024
TRESTAKK,Equinor Energy AS,Producing,6406/3-2,22.11.1986,Norwegian sea,PRODUCTION LICENSE,091,Kristiansund,21532,29396445,863,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29396445,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29396445,02.01.2024,02.01.2024,22.03.2024
TROLL,Equinor Energy AS,Producing,31/2-1,09.11.1979,North sea,BUSINESS ARRANGEMENT AREA,TROLL UNIT,Mongstad,41105,46437,398,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=46437,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=46437,02.01.2024,02.01.2024,22.03.2024
TROLL BRENT B,Equinor Energy AS,Shut down,31/2-N-11 H,24.08.2005,North sea,PRODUCTION LICENSE,054,Mongstad,21228,29398828,5102,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29398828,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29398828,02.01.2024,02.01.2024,22.03.2024
